just_date,Popularity,Sentiment,date
2017-02-20,1510,-0.3986486486486487,2017-02-20
2017-02-21,10177,-0.22558560961331914,2017-02-21
2017-02-22,7013,-0.3347452634847473,2017-02-22
2017-02-23,4542,-0.2238149642376855,2017-02-23
2017-02-24,8402,-0.00579150579150578,2017-02-24
2017-02-28,1992,-0.06274131274131273,2017-02-28
2017-03-01,6255,0.014478764478764505,2017-03-01
2017-03-03,10955,0.06505060188309847,2017-03-03
2017-03-04,3671,-0.7422779922779922,2017-03-04
2017-03-05,2823,-0.5106177606177605,2017-03-05
2017-03-08,2170,-0.23166023166023164,2017-03-08
2017-03-09,2980,-0.09073359073359072,2017-03-09
2017-03-10,4156,-0.3503861003861003,2017-03-10
2017-03-11,3649,-0.5395752895752896,2017-03-11
2017-03-13,2666,-0.2731660231660231,2017-03-13
2017-03-17,7481,-0.32715027361465,2017-03-17
2017-03-21,3345,-0.17567567567567566,2017-03-21
2017-03-22,3591,-0.20366795366795365,2017-03-22
2017-03-26,6056,-0.20270270270270266,2017-03-26
2017-03-27,2860,-0.027992277992277992,2017-03-27
2017-04-01,5605,-0.3638996138996139,2017-04-01
2017-04-11,8434,-0.17567567567567566,2017-04-11
2017-04-20,10897,-0.25868725868725867,2017-04-20
2017-04-24,25678,0.33783783783783783,2017-04-24
2017-04-25,10603,-0.3079150579150579,2017-04-25
2017-05-04,10137,-0.3011583011583011,2017-05-04
2017-05-10,189655,0.059463714289582324,2017-05-10
2017-05-15,8896,0.14768339768339767,2017-05-15
2017-05-24,65168,-0.013513513513513487,2017-05-24
2017-05-25,30439,-0.17567567567567566,2017-05-25
2017-05-27,25990,-0.03378378378378377,2017-05-27
2017-05-29,39957,-0.0867068681844566,2017-05-29
2017-05-30,23711,-0.24517374517374518,2017-05-30
2017-05-31,40441,-0.12548262548262545,2017-05-31
2017-06-02,24757,-0.12644787644787642,2017-06-02
2017-06-04,40624,-0.06949806949806947,2017-06-04
2017-06-09,57970,-0.10779187477479696,2017-06-09
2017-06-10,32974,0.0424710424710425,2017-06-10
2017-06-12,32474,-0.4555984555984556,2017-06-12
2017-06-13,24108,0.0,2017-06-13
2017-06-14,65273,-0.09502106300552823,2017-06-14
2017-06-15,17026,-0.32239382239382236,2017-06-15
2017-06-16,66939,0.07471504483336153,2017-06-16
2017-06-17,12930,-0.21718146718146714,2017-06-17
2017-06-20,120062,-0.3638996138996139,2017-06-20
2017-06-22,42171,0.09845559845559844,2017-06-22
2017-06-23,32370,-0.25965250965250963,2017-06-23
2017-06-26,24749,-0.12644787644787642,2017-06-26
2017-06-27,24460,-0.25193050193050187,2017-06-27
2017-06-28,42588,-0.9005791505791506,2017-06-28
2017-06-29,44092,-0.1951768012618053,2017-06-29
2017-06-30,27830,-0.1766131448937773,2017-06-30
2017-07-01,15203,-0.08397683397683396,2017-07-01
2017-07-03,72516,-0.2876447876447876,2017-07-03
2017-07-04,27791,0.08494208494208491,2017-07-04
2017-07-05,18329,-0.4903474903474903,2017-07-05
2017-07-06,34515,0.28861003861003864,2017-07-06
2017-07-09,57172,-0.020261153298304354,2017-07-09
2017-07-11,20839,-0.3011583011583011,2017-07-11
2017-07-12,24181,-0.11196911196911195,2017-07-12
2017-07-14,27508,-0.2387723430965397,2017-07-14
2017-07-17,36060,-0.17008782017101473,2017-07-17
2017-07-21,14229,-0.1052123552123552,2017-07-21
2017-07-22,22338,-0.3156370656370656,2017-07-22
2017-07-24,34439,-0.138996138996139,2017-07-24
2017-07-25,12454,-0.1544401544401544,2017-07-25
2017-07-26,12991,-0.03474903474903475,2017-07-26
2017-07-28,25573,-0.16819432959502562,2017-07-28
2017-07-29,14347,-0.14950954997654656,2017-07-29
2017-08-01,21052,-0.22876447876447875,2017-08-01
2017-08-02,13226,0.14768339768339767,2017-08-02
2017-08-07,20783,-0.32239382239382236,2017-08-07
2017-08-08,25599,-0.11894701786885073,2017-08-08
2017-08-11,17448,-0.20366795366795365,2017-08-11
2017-08-14,62472,-0.11497495279429588,2017-08-14
2017-08-15,12803,-0.32239382239382236,2017-08-15
2017-08-17,8980,-0.3571428571428571,2017-08-17
2017-08-18,13682,-0.21718146718146714,2017-08-18
2017-08-19,15041,0.0,2017-08-19
2017-08-21,34828,-0.21718146718146714,2017-08-21
2017-08-22,27086,-0.17567567567567566,2017-08-22
2017-08-23,20283,-0.027992277992277992,2017-08-23
2017-08-24,17900,0.0,2017-08-24
2017-08-25,11150,-0.11196911196911194,2017-08-25
2017-08-26,47757,-0.23841698841698838,2017-08-26
2017-08-29,47125,-0.2758931413414172,2017-08-29
2017-08-30,19645,-0.18918918918918917,2017-08-30
2017-08-31,11972,-0.23841698841698838,2017-08-31
2017-09-01,20494,-0.3291505791505791,2017-09-01
2017-09-02,291347,0.04732367259182361,2017-09-02
2017-09-03,29377,-0.11196911196911195,2017-09-03
2017-09-04,40505,-0.12644787644787642,2017-09-04
2017-09-05,198597,-0.14721225963842918,2017-09-05
2017-09-06,54710,-0.13901032400392663,2017-09-06
2017-09-08,80400,-0.03909388866478416,2017-09-08
2017-09-10,270394,-0.2877655752053852,2017-09-10
2017-09-11,38537,-0.2274461098059198,2017-09-11
2017-09-12,65193,-0.3630048249370875,2017-09-12
2017-09-13,60130,-0.06722742616223407,2017-09-13
2017-09-14,56701,-0.2104247104247104,2017-09-14
2017-09-15,343296,-0.2425219705263749,2017-09-15
2017-09-16,49874,-0.05352735998964493,2017-09-16
2017-09-17,32763,-0.2104247104247104,2017-09-17
2017-09-19,51397,-0.0683333717703428,2017-09-19
2017-09-20,57374,-0.1729266939553829,2017-09-20
2017-09-21,54171,-0.07722007722007719,2017-09-21
2017-09-22,70524,-0.13358066554850626,2017-09-22
2017-09-23,101673,-0.368170365005808,2017-09-23
2017-09-24,28432,-0.1332046332046332,2017-09-24
2017-09-26,135838,-0.12168224203700283,2017-09-26
2017-09-27,69358,-0.12213849668793582,2017-09-27
2017-09-28,36753,-0.08115963427774708,2017-09-28
2017-09-29,70397,-0.22085077006451492,2017-09-29
2017-09-30,42319,-0.08397683397683396,2017-09-30
2017-10-01,39433,-0.07047117798265311,2017-10-01
2017-10-02,71259,-0.27275221646458964,2017-10-02
2017-10-03,11244,-0.20366795366795365,2017-10-03
2017-10-04,83732,-0.3069498069498069,2017-10-04
2017-10-05,11064,-0.32239382239382236,2017-10-05
2017-10-06,38309,-0.16984030285734844,2017-10-06
2017-10-08,92834,-0.22610495938156058,2017-10-08
2017-10-09,22987,-0.09749034749034749,2017-10-09
2017-10-10,264901,-0.29210441974833196,2017-10-10
2017-10-11,10382,-0.3503861003861003,2017-10-11
2017-10-13,76915,-0.06390778367635935,2017-10-13
2017-10-15,224715,-0.2876447876447876,2017-10-15
2017-10-16,32768,-0.060431196882918065,2017-10-16
2017-10-17,64329,-0.2224256538135193,2017-10-17
2017-10-18,56975,-0.21402444003584853,2017-10-18
2017-10-19,24450,-0.3638996138996139,2017-10-19
2017-10-20,24607,-0.35038610038610024,2017-10-20
2017-10-23,73041,-0.09702851611505654,2017-10-23
2017-10-24,75486,-0.08823909867149672,2017-10-24
2017-10-25,62993,-0.16119691119691118,2017-10-25
2017-10-27,94467,-0.2452706922680564,2017-10-27
2017-10-28,94176,-0.2278773182586256,2017-10-28
2017-10-29,212405,-0.21502178716462744,2017-10-29
2017-11-01,72599,-0.25511780186086996,2017-11-01
2017-11-02,51846,-0.12312585371259135,2017-11-02
2017-11-03,22760,-0.1824324324324324,2017-11-03
2017-11-07,98774,-0.07092390936823682,2017-11-07
2017-11-08,161146,-0.2027769057791522,2017-11-08
2017-11-09,87425,-0.2579518462046343,2017-11-09
2017-11-10,24295,-0.23069498069498068,2017-11-10
2017-11-11,40687,-0.37837837837837834,2017-11-11
2017-11-14,104085,-0.19569004802467832,2017-11-14
2017-11-15,38425,-0.20717395618501666,2017-11-15
2017-11-16,57651,-0.1919990337277114,2017-11-16
2017-11-17,16424,-0.23841698841698838,2017-11-17
2017-11-20,31943,-0.18918918918918917,2017-11-20
2017-11-21,32646,-0.32675489638823585,2017-11-21
2017-11-22,21762,-0.3156370656370656,2017-11-22
2017-11-24,33115,-0.09073359073359072,2017-11-24
2017-11-25,78120,-0.053204875382294736,2017-11-25
2017-11-27,31798,-0.09749034749034748,2017-11-27
2017-11-28,28468,-0.16119691119691118,2017-11-28
2017-11-30,66870,-0.3324688657124727,2017-11-30
2017-12-01,33263,-0.014368144971217424,2017-12-01
2017-12-03,32344,-0.03474903474903475,2017-12-03
2017-12-04,92811,-0.2208766921974408,2017-12-04
2017-12-05,24071,-0.24517374517374516,2017-12-05
2017-12-06,63071,-0.15234846871415184,2017-12-06
2017-12-07,144296,-0.30492254980806294,2017-12-07
2017-12-08,170212,-0.29189130892594806,2017-12-08
2017-12-09,29973,-0.5463320463320462,2017-12-09
2017-12-10,166520,-0.32131389135953153,2017-12-10
2017-12-12,24298,-0.2876447876447876,2017-12-12
2017-12-14,58745,-0.2307752471170634,2017-12-14
2017-12-15,61530,-0.23433998357206548,2017-12-15
2017-12-17,81271,-0.19594594594594594,2017-12-17
2017-12-18,40503,-0.1544401544401544,2017-12-18
2017-12-20,134002,-0.2552618646445604,2017-12-20
2017-12-23,63442,-0.25965250965250963,2017-12-23
2017-12-28,27821,-0.1824324324324324,2017-12-28
2017-12-30,53177,-0.37162162162162166,2017-12-30
2018-01-01,44802,-0.8050193050193051,2018-01-01
2018-01-04,89722,-0.3503861003861003,2018-01-04
2018-01-05,142028,-0.22142512439496126,2018-01-05
2018-01-06,49163,-0.20077220077220076,2018-01-06
2018-01-08,102665,0.00456289686796678,2018-01-08
2018-01-09,331713,-0.20537880486465554,2018-01-09
2018-01-10,38626,0.14768339768339767,2018-01-10
2018-01-11,139421,-0.36030375791064634,2018-01-11
2018-01-14,250369,-0.27275079434492133,2018-01-14
2018-01-15,366777,-0.22137811153343753,2018-01-15
2018-01-16,461189,-0.28832208683094107,2018-01-16
2018-01-17,236075,-0.20103885250131145,2018-01-17
2018-01-18,297483,-0.2723056742076316,2018-01-18
2018-01-19,112679,-0.22391632827472688,2018-01-19
2018-01-21,262042,-0.34617898059254787,2018-01-21
2018-01-22,124515,-0.2876447876447876,2018-01-22
2018-01-23,99221,-0.16336531853408318,2018-01-23
2018-01-24,30486,-0.28667953667953655,2018-01-24
2018-01-25,136192,-0.20621707464546982,2018-01-25
2018-01-26,141201,-0.21544890865752614,2018-01-26
2018-01-27,106680,-0.09749034749034748,2018-01-27
2018-01-29,40703,-0.3436293436293436,2018-01-29
2018-01-30,87728,-0.4555984555984556,2018-01-30
2018-01-31,144579,-0.29498830995417635,2018-01-31
2018-02-01,290635,-0.25039895002907026,2018-02-01
2018-02-02,23609,-0.1824324324324324,2018-02-02
2018-02-03,100981,-0.23166023166023167,2018-02-03
2018-02-05,266434,-0.2861901835606393,2018-02-05
2018-02-06,285282,-0.2542115883493889,2018-02-06
2018-02-07,147913,-0.39063745653261106,2018-02-07
2018-02-08,58184,-0.3092107411078262,2018-02-08
2018-02-09,65732,-0.2799227799227799,2018-02-09
2018-02-11,76751,-0.16400515752967185,2018-02-11
2018-02-12,124593,-0.3363006706593425,2018-02-12
2018-02-13,69401,-0.24146341008850195,2018-02-13
2018-02-14,155404,-0.14930121976755265,2018-02-14
2018-02-15,34186,-0.2664092664092664,2018-02-15
2018-02-16,89024,-0.12506348337978007,2018-02-16
2018-02-17,74255,0.06467181467181471,2018-02-17
2018-02-18,117835,-0.1776509280285747,2018-02-18
2018-02-19,150715,-0.12777311033622615,2018-02-19
2018-02-20,79688,-0.22169883152402473,2018-02-20
2018-02-22,112822,-0.42288187036551717,2018-02-22
2018-02-23,188521,-0.21056280017881113,2018-02-23
2018-02-24,238325,-0.28315742875692523,2018-02-24
2018-02-26,100916,-0.16104580498234625,2018-02-26
2018-02-27,62393,-0.35720600772770084,2018-02-27
2018-02-28,66271,-0.3387139497240446,2018-02-28
2018-03-01,183320,-0.19486094952219762,2018-03-01
2018-03-02,205349,-0.15709933861349254,2018-03-02
2018-03-03,147605,-0.290111325763912,2018-03-03
2018-03-04,26640,-0.23166023166023164,2018-03-04
2018-03-05,40778,-0.24517374517374518,2018-03-05
2018-03-06,157526,-0.1756997141171817,2018-03-06
2018-03-07,122131,-0.3296615106843468,2018-03-07
2018-03-08,56260,-0.11605332797120922,2018-03-08
2018-03-09,128553,-0.2174469106337674,2018-03-09
2018-03-11,28482,-0.09845559845559845,2018-03-11
2018-03-12,54531,-0.3700446078313713,2018-03-12
2018-03-13,120921,-0.22142289268346774,2018-03-13
2018-03-14,185878,-0.2188984411288826,2018-03-14
2018-03-15,114192,-0.20808126853208816,2018-03-15
2018-03-16,141017,-0.1635353707320208,2018-03-16
2018-03-17,151980,-0.2865197856759246,2018-03-17
2018-03-18,99781,0.5354480366055715,2018-03-18
2018-03-19,53494,-0.19614244617048668,2018-03-19
2018-03-20,97720,-0.21440153057273395,2018-03-20
2018-03-21,129713,-0.21828937791293146,2018-03-21
2018-03-22,64998,-0.2573673933061914,2018-03-22
2018-03-23,53040,-0.28478328441563733,2018-03-23
2018-03-26,53705,-0.33941588522167604,2018-03-26
